Date,Open,High,Low,Close,Adj Close,Volume
2020-10-13,285.700012,290.769989,285.700012,290.359985,290.359985,2699900
2020-10-14,289.510010,290.299988,285.149994,287.089996,287.089996,2221000
2020-10-15,284.119995,290.250000,283.119995,287.540009,287.540009,2699400
2020-10-16,288.250000,292.649994,287.250000,287.660004,287.660004,3108600
2020-10-19,289.760010,290.109985,283.380005,283.730011,283.730011,2428100
2020-10-20,285.140015,289.790009,284.130005,286.040009,286.040009,2281500
2020-10-21,285.390015,288.019989,283.279999,284.510010,284.510010,2304500
2020-10-22,283.929993,285.679993,280.649994,281.160004,281.160004,2787000
2020-10-23,282.380005,283.190002,279.549988,283.000000,283.000000,1750600
2020-10-26,279.640015,281.529999,272.000000,276.040009,276.040009,2911900
2020-10-27,276.989990,279.730011,276.119995,276.839996,276.839996,3014100
2020-10-28,270.250000,273.670013,268.690002,269.720001,269.720001,3255900
2020-10-29,269.690002,273.700012,267.309998,269.630005,269.630005,2872500
2020-10-30,268.820007,269.619995,262.029999,266.709991,266.709991,3872800
2020-11-02,270.149994,274.779999,268.519989,270.739990,270.739990,2956400
2020-11-03,274.850006,279.529999,273.720001,277.369995,277.369995,3037500
2020-11-04,276.760010,287.040009,276.010010,282.720001,282.720001,3525300
2020-11-05,288.350006,289.000000,284.079987,285.850006,285.850006,2516600
2020-11-06,286.730011,286.779999,282.850006,284.239990,284.239990,2839100
2020-11-09,287.980011,288.420013,269.470001,269.970001,269.970001,7856400
