Date,Open,High,Low,Close,Adj Close,Volume
2020-10-13,222.720001,225.210007,220.429993,222.860001,222.860001,28950800
2020-10-14,223.000000,224.220001,219.130005,220.860001,220.860001,23451700
2020-10-15,217.100006,220.360001,216.009995,219.660004,219.660004,22733100
2020-10-16,220.149994,222.289993,219.320007,219.660004,219.660004,26057900
2020-10-19,220.419998,222.300003,213.720001,214.220001,214.220001,27625800
2020-10-20,215.800003,217.369995,213.089996,214.649994,214.649994,22753500
2020-10-21,213.119995,216.919998,213.119995,214.800003,214.800003,22724900
2020-10-22,213.929993,216.059998,211.699997,214.889999,214.889999,22351500
2020-10-23,215.029999,216.279999,213.160004,216.229996,216.229996,18879600
2020-10-26,213.850006,216.339996,208.100006,210.080002,210.080002,37111600
2020-10-27,211.589996,214.669998,210.330002,213.250000,213.250000,36700300
2020-10-28,207.669998,208.839996,202.100006,202.679993,202.679993,51195600
2020-10-29,204.070007,207.360001,203.369995,204.720001,204.720001,31432600
2020-10-30,203.500000,204.289993,199.619995,202.470001,202.470001,36953700
2020-11-02,204.289993,205.279999,200.119995,202.330002,202.330002,30842200
2020-11-03,203.889999,208.119995,203.119995,206.429993,206.429993,27512000
2020-11-04,214.020004,218.320007,212.419998,216.389999,216.389999,42311800
2020-11-05,222.039993,224.119995,221.149994,223.289993,223.289993,36080100
2020-11-06,222.259995,224.360001,218.029999,223.720001,223.720001,25231900
2020-11-09,224.440002,228.119995,217.880005,218.389999,218.389999,44395000
2020-11-10,214.500000,216.500000,209.720001,211.009995,211.009995,44045100
2020-11-11,212.389999,218.039993,212.199997,216.550003,216.550003,29440800
2020-11-12,217.210007,219.110001,214.460007,215.440002,215.440002,21593900
