Date,Open,High,Low,Close,Adj Close,Volume
2020-10-02,11082.530273,11244.870117,11033.690430,11075.019531,11075.019531,3715090000
2020-10-05,11169.110352,11335.209961,11162.519531,11332.490234,11332.490234,3597940000
2020-10-06,11314.530273,11392.410156,11124.450195,11154.599609,11154.599609,4360550000
2020-10-07,11271.679688,11380.559570,11258.349609,11364.599609,11364.599609,3891460000
2020-10-08,11443.349609,11448.230469,11384.330078,11420.980469,11420.980469,3486530000
2020-10-09,11487.599609,11581.230469,11476.660156,11579.940430,11579.940430,3475620000
2020-10-12,11732.330078,11965.540039,11704.129883,11876.259766,11876.259766,3862990000
2020-10-13,11901.759766,11946.980469,11821.830078,11863.900391,11863.900391,3607730000
2020-10-14,11889.070313,11939.919922,11714.349609,11768.730469,11768.730469,3393010000
2020-10-15,11559.879883,11740.679688,11559.099609,11713.870117,11713.870117,3304490000
2020-10-16,11761.830078,11827.419922,11648.530273,11671.559570,11671.559570,3156270000
2020-10-19,11732.339844,11778.110352,11454.570313,11478.879883,11478.879883,3455430000
2020-10-20,11531.830078,11632.889648,11471.230469,11516.490234,11516.490234,3483200000
2020-10-21,11530.389648,11613.790039,11476.080078,11484.690430,11484.690430,3445520000
2020-10-22,11526.969727,11548.769531,11369.290039,11506.009766,11506.009766,3414590000
2020-10-23,11536.009766,11548.849609,11434.860352,11548.280273,11548.280273,3134240000
2020-10-26,11440.639648,11545.629883,11221.059570,11358.940430,11358.940430,3186950000
2020-10-27,11409.339844,11465.059570,11361.860352,11431.349609,11431.349609,3079530000
2020-10-28,11230.900391,11249.950195,10999.070313,11004.870117,11004.870117,3912580000
2020-10-29,11064.469727,11287.629883,11030.190430,11185.589844,11185.589844,3222460000
2020-10-30,11103.469727,11129.809570,10822.570313,10911.589844,10911.589844,3662840000
