Date,Open,High,Low,Close,Adj Close,Volume
2020-10-13,1583.729980,1590.000000,1563.199951,1571.680054,1571.680054,1601000
2020-10-14,1578.589966,1587.683960,1550.530029,1568.079956,1568.079956,1931000
2020-10-15,1547.150024,1575.104980,1545.030029,1559.130005,1559.130005,1540000
2020-10-16,1565.849976,1581.130005,1563.000000,1573.010010,1573.010010,1434700
2020-10-19,1580.459961,1588.150024,1528.000000,1534.609985,1534.609985,1607100
2020-10-20,1527.050049,1577.500000,1525.670044,1555.930054,1555.930054,2241700
2020-10-21,1573.329956,1618.729980,1571.630005,1593.310059,1593.310059,2568300
2020-10-22,1593.050049,1621.989990,1585.000000,1615.329956,1615.329956,1433600
2020-10-23,1626.069946,1642.359985,1620.510010,1641.000000,1641.000000,1375800
2020-10-26,1625.010010,1638.239990,1576.500000,1590.449951,1590.449951,1853300
2020-10-27,1595.670044,1606.844971,1582.780029,1604.260010,1604.260010,1229000
2020-10-28,1559.739990,1561.349976,1514.619995,1516.619995,1516.619995,1834000
2020-10-29,1522.359985,1593.709961,1522.239990,1567.239990,1567.239990,2003100
2020-10-30,1672.109985,1687.000000,1604.459961,1621.010010,1621.010010,4329100
2020-11-02,1628.160034,1660.770020,1616.030029,1626.030029,1626.030029,2535400
2020-11-03,1631.780029,1661.699951,1616.619995,1650.209961,1650.209961,1661700
2020-11-04,1710.280029,1771.364990,1706.030029,1749.130005,1749.130005,3570900
2020-11-05,1781.000000,1793.640015,1750.510010,1763.369995,1763.369995,2065800
2020-11-06,1753.949951,1772.430054,1740.349976,1761.750000,1761.750000,1660900
2020-11-09,1790.900024,1818.060059,1760.020020,1763.000000,1763.000000,2268300
2020-11-10,1731.089966,1763.000000,1717.300049,1740.390015,1740.390015,2636100
2020-11-11,1750.000000,1764.219971,1747.364990,1752.709961,1752.709961,1264000
2020-11-12,1747.630005,1768.270020,1745.599976,1749.839966,1749.839966,1247500
